category,drama,name,image,stars,director,wishNum,score,version,scoreNum,duration,id,releaseTime
"动画,喜剧,家庭",生活在美丽神奇蜡笔世界七彩城内的蜡笔们，有一条维持生命和色彩的七彩河。每当蜡笔的主人六岁的小男孩奔奔进入梦乡的时候，他的蜡笔黄小仙（陆雨萱 配音）、蓝小帅（陆毅 配音）、绿泡泡（乐嘉 配音）和其他蜡笔们就会集体复活，回到蜡笔世界的七彩城中享受他们惬意的生活。某天，和蜡笔们集体复活的还有一幅没被奔奔画完的画，为了让自己涂上颜色，画面人物妄想阻断城里的“色彩之源”，而蜡笔们也为了保护自己的生命之源，开始了一场刺激的冒险之旅……在冒险过程中蜡笔们相互协作、了解，并最终找到自身的价值，学会鼓励、宽容与信任。,蜡笔总动员,http://p0.meituan.net/w.h/movie/71462163656c00d79d5fb122f5a539b4731204.jpg,陆雨萱，陆毅，乐嘉，周帅，樊俊航，李正翔,张也弛,5681,8.19999980927,2D,27784,78,246334,2015-02-06
"魔幻,爱情,动作",扈都是盛世唐朝西部的边境之城。为保护百姓不受妖魔的侵害，钟馗（陈坤 饰）在张道仙（赵文瑄 饰）的指引下成为斩妖士，深入魔界盗取集合妖魔能量的宝盒，以期利用千年不遇的机会，彻底扫荡魔界，给人间带来永久和平。魔王则派各路妖怪前来想夺回宝盒，维护魔界的的势力。一身正气的钟馗在御敌过程中却发现原以为界限分明的人魔两界，远比想象的要复杂。而偶遇昔日恋人雪妖（李冰冰 饰），误入这段注定不该发生的恋情，使得钟馗开始怀疑存在的目的。在与魔界一次次的冲突后，钟馗慢慢察觉自己已经陷入了一个巨大的阴谋之中……,钟馗伏魔：雪妖魔灵,http://p0.meituan.net/w.h/movie/7e2e5936092a4b523ce8d0d567272960152922.jpg,陈坤，李冰冰，赵文瑄，杨子姗，包贝尔，吉克隽逸，黄幻，骆文博，侯伊荻，麦迪娜，任芷铱，鲍德熹,"鲍德熹,赵天宇",53200,6.90000009537,2D/3D,229658,118,78761,2015-02-19
"动画,家庭,剧情",摩尔庄园的天空树屋里，小鼹鼠摩乐乐（杨鸥 配音）和养父菩提大伯（夏磊 配音）过着平静的生活。由于一次误会，摩乐乐错失了出国旅行的好机会，负气伤心的乐乐，突然收到一张看似意外的火车票。接着，他召唤来了一辆从天而降的列车。这趟神秘的列车只有一个条件：永不归家。摩乐乐和小伙伴们乘坐列车，开始了探险之旅−−上天入地，还遭遇凶悍空匪的半路拦截。沿途所见所闻让孩子们惊叹不已：麦田怪圈的问号；沙漠小镇的奇遇；虫洞飞跃的惊奇……这趟列车究竟有着怎样的故事呢？而列车最终的目的地又在哪里？,摩尔庄园3：魔幻列车大冒险,http://p1.meituan.net/w.h/movie/f7bfcd0c2dfa6715b238885dc02b42542075457.jpg,文晓依，樊俊航，沈达威，冯骏骅，谢添天，夏磊，杨鸥，黄莺，王宇航，张甄妮，祝俊，刘宇轩，辛悦，张敏,李婷婷,1966,8.39999961853,2D,6405,86,246263,2015-02-05
悬疑,改编自著名网络小说《黑白配》，在电影化过程中，进行了很大的改编，其中最重要的是以双鱼玉佩作为主线，来推动整个故事的发展。以由温兆伦扮演的医生角色角度，无意中得到的一块双鱼玉佩后，遭遇数个离奇神秘死亡事件，进而开始探寻背后千年传说秘密。故事建立在神秘事件基础上，通过另一种方式为人们层层揭示事件背后的秘密。,死亡之谜,http://p1.meituan.net/w.h/movie/e8833b62bfa873b91f8be5ec02e36d53317828.jpg,温兆伦，黄征，余思潞，杨心蕊，隋抒洋,黄正杰,5213,4.69999980927,2D/3D,2325,86,246244,2015-02-06
"动作,历史,冒险",西汉汉元帝年间，西域都护府大都护霍安（成龙 饰）遭奸人陷害，沦为奴役，被刺配至雁门关修城。恰在此时，罗马将军卢魁斯（约翰·库萨克 饰）护卫遭到哥哥迫害的罗马小王子（西蒙子 饰）逃命至雁门关。双雄在西域戈壁相遇，从开始的兵戎相见到惺惺相惜，最终化敌为友。一日，霍安为洗清自己冤屈四处追查时，无意间撞破了好兄弟殷破（崔始源 饰）与罗马大王子提比斯（艾德里安·布洛迪 饰）不可告人的秘密。与此同时，提比斯为追杀卢魁斯与小王子一行人也亲自带兵赶来西域。为保护小王子和西域诸国的安危，霍安与卢魁斯联手与提比斯在戈壁大漠展开了一场生死之战……,天将雄师,http://p1.meituan.net/w.h/movie/7f51fac0bb92231b340a36c4fd4c7e17161358.jpg,成龙，林鹏，崔始源，阿德里安·布洛迪，约翰·库萨克，王若心，王太利，肖央，西蒙子，洪天照，冯绍峰，林嘉欣，吴建豪，凯尔·夏皮罗，修庆，范德·麦克劳德，哈里·奥拉姆，雷登·英特格拉，麦克斯·黄，刘承俊，托默·奥兹，邢思杰，乔尔·阿德里安，丹尼·萨莱，菲利普·乔利，保罗·菲利普·克拉克，默里·克莱夫·沃克，凯文·李，马铁摩，朱佳煜，沙妮·文森，吴永伦，Miroslav Karel，Jim Bennett，Fatih Ugurlu，Alexander Corne，Othmane Kosseir，Konstantin Oschepkov，Bassem Khayati，James Lee Guy，Pierre Bourdaud，宾尼·尤奎德兹，Emrah Yilmaz，Jai Day，Emrah Yilmaz，Lorie，Jozef Waite,李仁港,70220,8.30000019073,2D/3D/IMAX 3D,795306,127,79082,2015-02-19
"动作,科幻,冒险",凯特尼斯·伊夫狄恩（詹妮弗·劳伦斯 饰），燃烧的女孩，虽然她的家被毁了，可她却活了下来。盖尔（利亚姆·海姆斯沃斯 饰）也逃了出来，凯特尼斯的家人也安全了，皮塔（乔什·哈切森 饰）被凯匹特抓走了。十三区并不真的存在，出现了反抗，出现了新的领导者，一个革命的序幕正在缓缓拉开。凯特尼斯从噩梦般的竞技场逃出来是已经设计好的，她是反抗运动的参与者，也是设计好的，而她对此并不知情。十三区从隐蔽处出来了，并计划推翻凯匹特的统治。似乎每个人都参与了这项精心策划的行动，而只有凯特尼斯并不知情。反抗运动将凯特尼斯卷入了漩涡，她被迫成为棋子，她被迫为许多人的使命负责，不得不肩负起改变帕纳姆国的未来的负责。为了做到这一切，她必须抛却愤怒和不信任，她必须要成为反抗者的嘲笑鸟，不管要付出多大的代价。,饥饿游戏3：嘲笑鸟（上）,http://p0.meituan.net/w.h/movie/506626dd6ef7b98ba73e1a7031c8e7d8141945.jpg,詹妮弗·劳伦斯，乔什·哈切森，利亚姆·海姆斯沃斯，朱丽安·摩尔，伍迪·哈里森，伊丽莎白·班克斯，菲利普·塞默·霍夫曼，山姆·克拉弗林，娜塔莉·多默，埃尔登·汉森，韦斯·查塔姆，史蒂芙·道森，伊万·罗斯，帕缇娜·米勒，泰勒·麦克弗森，米歇尔·哈尔斯顿，杰弗里·怀特，斯坦利·图齐，唐纳德·萨瑟兰，薇洛·西尔德斯，吉娜·马隆，罗伯特·克耐普，马赫莎拉哈什巴兹·阿里，麦克·加尔萨，柯蒂斯·戈登，乔·克罗森，杰克琳·埃德妮，莎拉·特纳荷兰，克莱·杰弗里斯，马尔科姆·F·约翰逊，迈克·柯南内克，赫伯特·麦昆，布雷登·帕特森，凯茜·沃尔顿·普利，乔瓦尼·罗德里格斯，南茜·桑德林，吉娜·圣地亚哥，A.J.塞克斯顿，查尔斯·泰勒西，劳伦·汉尼伯格，奥马赫·帕尔默，泰勒·李·艾伦，斯蒂芬·麦肯齐·布朗，吉尔伯特·斯塔克，贾斯敏·洛，亚伦·泰勒莫罗，斯科特·奥克利，埃丽卡·比尔曼，贾达·泰勒，柯克·克伦肖，大卫·哈兰德卢梭，贾森·李·埃里克森，贝莉·沃特斯，达纳·兰肖，凯特琳·福勒，马歇尔·乔加，丹尼·M·格雷，罗恩·斯塔福德，安东尼·B·哈里斯，加勒特·H.迪马，威廉·威利特，格雷格·克鲁斯，杰西家族·金德里德，乔希·梯培，比尔·贝内特，安妮·哈里斯，胡里奥·塔尔达吉拉，赫尔沃耶·克勒兹，加勒特·哈林，泰洛·哈奇，约翰·弗莱希曼，伊恩·J·坎宁安，温布鲁尔，凯特琳·博斯特，查尔斯·科伦穆勒，杰克逊·米泽尔，凯蒂·索希尔，乔丹·伍兹罗宾逊，布兰·库奇，布拉德·韦弗，安东尼·R·迈克拉，肯尼斯·马诺斯，亚当·约翰逊，雷登·英特格拉，罗伯特·哈奇，格雷戈里·费尔斯，泰勒·比利厄，蔡斯·贝克，史蒂夫·雷·达里茂，罗斯·布莱克威尔，杰妮奎·班尼特，唐娜·比斯科，尼古拉斯·普赖尔，萨里塔·乔杜里，葆拉·马尔科姆森，杰西卡·吉村，艾玛·罗伯茨艾丽，Ashton Lee Woolen，Marcy Conway，吉米·登普斯特，威尔·弗拉斯卡,弗朗西斯·劳伦斯,85619,6.40000009537,2D/3D/IMAX 3D,156591,123,78618,2015-02-08
"动画,家庭,动作",打败熊霸之后，兔二（黄磊 配音）被视为打败邪恶和维护正义的保护者而受到人们膜拜。被突如其来的声望冲昏头脑的兔二不再苦练武功，一心要行走江湖行侠仗义。某一天，兔二在河边救了玄火教的一位长老展天（王劲松 配音），结果就此陷入一场阴谋之中。展天计划利用玄火教教主白兰（杨子珊 配音）守护的上古圣物青黎吸收天地精华，练就魔功，称霸武林，他欺骗兔二，并利用其内功解除了圣物封印，打伤白兰夺走青黎。被欺骗的兔二深受打击，陷入了对自己的怀疑和自责之中。随着展天魔功练成的日子逐渐临近，兔二是否能走出阴影，与伙伴们阻止展天，成为真正的英雄呢？,兔侠之青黎传说,http://p0.meituan.net/w.h/movie/326b91650f43c6eb5e339ef60d749ee5216367.jpg,黄磊，杨子姗，何云伟，王劲松，马元，赵慧珊，王迪，王玥波，周启勋，李小晨，张译心，李周,"马元,董大可",1753,8.30000019073,2D/3D,8069,97,246331,2015-02-21
"喜剧,动作",随着澳门赌侠石一坚（周润发 饰）协助国际刑警大破洗钱集团DOA后便退隐江湖，可是DOA首席会计师小马（张家辉 饰）从网上盗取DOA一百伍十亿美元，与女儿初一（王诗龄 饰）潜逃泰国。坚之大弟子阿乐（余文乐 饰）加入国际刑警，并邀请坚协助捉拿DOA真正幕后主脑苍井女士，两人前赴泰国寻找小马成为控方证人，追查过程中坚重遇了一生最爱的莫愁（刘嘉玲 饰）……,澳门风云2,http://p0.meituan.net/w.h/movie/442061ea642c8f7d4643311de3137fee1020829.jpg,周润发，张家辉，刘嘉玲，余文乐，王诗龄，姜大卫，袁泉，金巧巧，童菲，张慧雯，高海宁，朱晨丽，王子子，樊玲，胡然，黄德斌，文凯玲，姜皓文，蔡洁，吴樾，宝儿，曾国祥，曾志伟，陈百祥，王晶，孟瑶，陈浩，卢惠光，唐紫睿，罗子乔，刘德华，夏利奥，何浩文,"王晶,张敏",53044,8.80000019073,2D/3D,644598,110,79211,2015-02-19
"喜剧,家庭",《爸爸去哪儿》第二季最后一期节目中，五对爸爸和孩子们在霍比特人之家宣布“终极任务”，将一起前往斐济拍摄《爸爸2》大电影，更将在大年初一全球各大影院实现重聚的约定。片方日前曝光大电影首款概念海报，意在五组星爸萌娃原班人马即将整装待发，而这一次“终极任务”的目的地，将是风光旖旎的太平洋岛国斐济。在《爸爸去哪儿》以往的节目中，从未有过出征海岛的旅行，这一次斐济之旅，将会是爸爸和孩子们一次拥抱大海的全新体验。,爸爸去哪儿2,http://p0.meituan.net/w.h/movie/12063c0eec7ddf82e2cc5e9de668be583451391.jpg,曹格，黄忆慈，陆毅，黄磊，杨威，李锐，曹三丰，曹华恩，杨文昌，陆雨萱,谢涤葵,16576,7.80000019073,2D,137261,97,246287,2015-02-19
"喜剧,家庭",老郭（郭涛 饰）、岳伦儿（王岳伦 饰）、亮子（张亮 饰）三个正处于家庭和事业困境中的老公，趁老婆陪孩子们去夏令营期间，在田教练的提议下前往韩国参加一个叫“帝王假期”的旅游项目，以寻求短暂的套利和释放。然而，在到达韩国后，美好的帝王假期却因为国际大盗JIMMY（林志颖 饰）的出现而险象环生，上演了一场惊险刺激又笑料百出的故事……,爸爸的假期,http://p0.meituan.net/w.h/movie/a2602aa5594c21441adb138649151cc7614703.jpg,郭涛，林志颖，田亮，王诗龄，王岳伦，张亮，郭子睿，小小志，张悦轩，成俊，金桢勋，成东日，成彬，吉丽，张蓓蓓，王伟，隋凯，王太利，李菁，郑京虎，张光，沙溢,王岳伦,24208,7.09999990463,2D,60064,108,245942,2015-02-19
