showRate,movieId,subBoxOffice,releaseDay,boxRateshowZero,dailyBoxOffice,movieName
1.45,59335,262,218,0.96,False,19.0,前度
2.80,540,295,-351,0.93,False,18.5,恋人絮语
1.49,64996,140,7,0.42,False,8.3,绑架冰激凌
1.15,19,18127,34,0.41,False,8.1,赵氏孤儿
0.77,248659,4,-1,0.19,False,3.8,失控
0.05,407,3,-5,0.13,False,2.6,创：战纪
0.16,917,21029,49,0.09,False,1.8,哈利·波特与死亡圣器（上)
0.04,79146,1568,73,0.07,False,1.4,第一书记
0.13,66395,24,15,0.07,False,1.4,回忆之前，忘记之后
0.04,64673,472,206,0.06,False,1.3,替身传奇乐翻天
0.02,52781,1,1102,0.06,False,1.1,对岸的战争
0.25,245983,15134,35,0.04,False,0.8,大笑江湖
0.02,18803,8200,945,0.02,False,0.4,纳尼亚传奇2：凯斯宾王子
0.00,247377,306,141,0.02,False,0.3,喋血孤城
35.04,29933,2044,1,46.20,False,1470.4,纳尼亚传奇3：黎明踏浪号
27.81,182,56968,23,27.32,False,869.8,让子弹飞
24.26,3,41120,17,22.00,False,700.3,非诚勿扰2
3.72,341590,2538,-1701,1.70,False,54.0,午夜邂逅
2.57,49553,534,8,0.71,False,22.7,一路有你
0.96,59335,281,219,0.60,False,19.2,前度
1.38,540,307,-350,0.37,False,11.8,恋人絮语
2.07,248659,16,1,0.37,False,11.8,失控
0.80,64996,146,8,0.21,False,6.7,绑架冰激凌
0.79,19,18134,35,0.21,False,6.6,赵氏孤儿
0.12,917,21031,50,0.08,False,2.5,哈利·波特与死亡圣器（上)
0.08,407,5,-4,0.06,False,2.0,创：战纪
0.25,245983,15135,36,0.04,False,1.1,大笑江湖
0.01,79146,1569,74,0.03,False,0.8,第一书记
0.06,66395,25,16,0.02,False,0.5,回忆之前，忘记之后
0.00,52781,81,1103,0.02,False,0.5,对岸的战争
0.04,67674,51,10,0.01,False,0.4,医生的假日
0.01,248634,2419,71,0.01,False,0.3,密室之不可告人
0.02,286,25078,751,0.00,False,0.1,非诚勿扰
0.00,11,17400,1122,0.00,False,0.1,投名状
35.53,29933,3672,2,46.38,False,1627.4,纳尼亚传奇3：黎明踏浪号
27.68,182,57922,24,27.20,False,954.5,让子弹飞
23.97,3,41883,18,21.75,False,763.1,非诚勿扰2
3.73,341590,2596,-1700,1.66,False,58.1,午夜邂逅
2.53,49553,562,9,0.79,False,27.7,一路有你
1.01,59335,305,220,0.69,False,24.2,前度
1.45,540,321,-349,0.40,False,13.9,恋人絮语
1.87,248659,26,2,0.30,False,10.4,失控
0.81,19,18141,36,0.20,False,7.0,赵氏孤儿
0.78,64996,153,9,0.19,False,6.8,绑架冰激凌
0.11,407,9,-3,0.14,False,4.8,创：战纪
0.12,917,21035,51,0.09,False,3.2,哈利·波特与死亡圣器（上)
0.27,245983,15137,37,0.05,False,1.6,大笑江湖
0.06,66395,25,17,0.02,False,0.8,回忆之前，忘记之后
0.04,67674,51,11,0.02,False,0.6,医生的假日
0.01,64673,472,208,0.01,False,0.4,替身传奇乐翻天
0.02,164,6390,61,0.01,False,0.4,危情时速
0.00,50415,0,591,0.01,False,0.3,杂技小精灵
0.00,338500,19,1185,0.01,False,0.2,革命到底
29.84,29933,4577,3,38.14,False,904.7,纳尼亚传奇3：黎明踏浪号
25.66,182,58521,25,25.25,False,598.9,让子弹飞
21.69,3,42348,19,19.59,False,464.7,非诚勿扰2
11.79,407,309,-2,12.62,False,299.4,创：战纪
3.36,341590,2634,-1699,1.58,False,37.6,午夜邂逅
1.07,59335,325,221,0.83,False,19.6,前度
2.29,49553,579,10,0.73,False,17.4,一路有你
1.26,540,330,-348,0.38,False,9.1,恋人絮语
1.37,248659,31,3,0.22,False,5.3,失控
0.74,64996,158,10,0.20,False,4.8,绑架冰激凌
0.54,19,18143,37,0.10,False,2.3,赵氏孤儿
0.08,917,21037,52,0.09,False,2.0,哈利·波特与死亡圣器（上)
0.09,66395,27,18,0.05,False,1.2,回忆之前，忘记之后
0.18,245983,15137,38,0.03,False,0.8,大笑江湖
0.01,492,4565,202,0.03,False,0.8,决战刹马镇
0.01,50415,82,592,0.02,False,0.5,杂技小精灵
0.00,61781,1290,46,0.02,False,0.5,李小龙我的兄弟
0.01,338500,20,1186,0.02,False,0.4,革命到底
0.00,79146,1569,76,0.01,False,0.3,第一书记
0.01,28237,0,-93,0.01,False,0.3,激战运钞车
28.91,407,1086,-1,39.83,False,777.1,创：战纪
20.63,29933,4997,4,21.56,False,420.7,纳尼亚传奇3：黎明踏浪号
22.99,182,58921,26,20.48,False,399.6,让子弹飞
19.34,3,42650,20,15.45,False,301.5,非诚勿扰2
2.85,341590,2657,-1698,1.19,False,23.3,午夜邂逅
0.64,59335,333,222,0.45,False,8.8,前度
1.73,49553,586,11,0.36,False,6.9,一路有你
0.89,540,333,-347,0.18,False,3.5,恋人絮语
0.97,248659,34,4,0.14,False,2.7,失控
0.49,64996,160,11,0.12,False,2.3,绑架冰激凌
0.28,19,18144,38,0.08,False,1.6,赵氏孤儿
0.16,245983,15138,39,0.02,False,0.5,大笑江湖
0.01,79146,1569,77,0.02,False,0.4,第一书记
0.05,66395,27,19,0.02,False,0.4,回忆之前，忘记之后
0.02,18803,8201,949,0.02,False,0.3,纳尼亚传奇2：凯斯宾王子
0.00,60781,0,375,0.01,False,0.2,隔山有眼
0.00,52781,82,1106,0.01,False,0.2,对岸的战争
0.02,283,850,963,0.01,False,0.2,葫芦兄弟
0.01,338500,20,1187,0.01,False,0.1,革命到底
0.02,248634,2419,74,0.01,False,0.1,密室之不可告人
30.34,407,1960,1,41.77,False,874.6,创：战纪
20.02,29933,5442,5,21.26,False,445.1,纳尼亚传奇3：黎明踏浪号
22.87,182,59332,27,19.63,False,410.9,让子弹飞
18.79,3,42951,21,14.39,False,301.2,非诚勿扰2
2.88,341590,2682,-1697,1.17,False,24.6,午夜邂逅
0.30,19,18153,39,0.42,False,8.8,赵氏孤儿
0.67,59335,342,223,0.41,False,8.6,前度
1.65,49553,594,12,0.39,False,8.1,一路有你
0.79,540,337,-346,0.20,False,4.1,恋人絮语
